Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2024-04-29,3669.905029296875,3717.8391381406313,3607.505132805605,3664.7488838858926,8767049,2024-04-29
2024-05-06,3718.1259765625,3807.9783164447294,3679.0723303063046,3679.0723303063046,8762603,2024-05-06
2024-05-13,3677.591796875,3776.4674969267294,3657.1101171249998,3709.1499347185536,8560933,2024-05-13
2024-05-20,3702.446044921875,3755.825900875418,3664.5031131934247,3687.6344310694785,6624479,2024-05-20
2024-05-27,3530.716552734375,3759.0478124799274,3514.173654270348,3707.73573375633,19087656,2024-05-27
2024-06-03,3745.197998046875,3765.4439184409357,3454.3018730729555,3590.2041488163195,17232921,2024-06-03
2024-06-10,3685.66259765625,3756.6913262680196,3681.238227498978,3746.20780912326,9124613,2024-06-10
2024-06-17,3665.17578125,3729.6644554208256,3635.648596963255,3685.662148265492,10771816,2024-06-17
2024-06-24,3755.00830078125,3808.7248807139936,3646.4694005615806,3663.2527498533896,11938934,2024-06-24
2024-07-01,3858.5458984375,3892.73790537341,3735.627919419598,3735.627919419598,10973987,2024-07-01
2024-07-08,4024.120361328125,4039.5091500984563,3746.7854397820997,3868.3567771420035,24115752,2024-07-08
2024-07-15,4138.044921875,4192.242402524481,3986.5615428333927,4073.893194877038,16394269,2024-07-15
2024-07-22,4230.033203125,4263.388846244049,4111.601629455093,4145.294778340591,12433939,2024-07-22
2024-07-29,4129.0009765625,4271.629834218872,4116.420535345201,4256.20530762273,10888326,2024-07-29
2024-08-05,4076.654296875,4105.093268617906,3962.657401668268,4086.535634514484,9972323,2024-08-05
2024-08-12,4257.2177734375,4267.774123154731,4032.5500693824797,4077.8596207238556,9116108,2024-08-12
2024-08-19,4303.3466796875,4400.810507076791,4232.44224304737,4261.989759427491,9803623,2024-08-19
2024-08-26,4389.96484375,4427.0801106145345,4296.983681719872,4327.543713114192,10393782,2024-08-26
2024-09-02,4296.4541015625,4422.983433661019,4277.125428070575,4411.415037583441,7537240,2024-09-02
2024-09-09,4359.935546875,4385.723428483048,4271.148017362886,4294.766824816987,8097450,2024-09-09
2024-09-16,4130.78564453125,4382.542813253498,4075.450234602685,4364.17816961475,14191722,2024-09-16
2024-09-23,4153.7294921875,4220.536795895115,4087.500231748581,4145.3422161601175,14404146,2024-09-23
2024-09-30,4099.31005859375,4144.137601124083,4058.5796570473717,4132.713713883779,10642363,2024-09-30
2024-10-07,3999.966064453125,4142.690967259197,3964.537850351833,4120.18070170677,12235048,2024-10-07
2024-10-14,3974.756103515625,4019.96962814539,3920.915001259401,3991.096651281394,12139874,2024-10-14
2024-10-21,3921.1552734375,4000.7855343168567,3860.8527114219933,3993.682510610862,9926395,2024-10-21
2024-10-28,3850.2705078125,3995.035006868868,3826.884041412849,3932.1716246078886,8808688,2024-10-28
2024-11-04,4007.597900390625,4064.421139794774,3781.7054457930103,3832.9722083440624,12401187,2024-11-04
2024-11-11,4006.53466796875,4091.962990342154,3978.0749185870723,3989.4299400438176,5918372,2024-11-11
2024-11-18,4101.91748046875,4111.919658653727,3856.0690179777193,4071.379622960745,10571077,2024-11-18
2024-11-25,4127.2841796875,4230.252280459017,4054.6118616885574,4136.126505296111,12247798,2024-11-25
2024-12-02,4296.06396484375,4338.101706935911,4087.8561546310452,4126.463419161581,12573325,2024-12-02
2024-12-09,4323.5087890625,4343.802869518513,4246.681198764737,4281.519653334768,9671413,2024-12-09
2024-12-16,4030.114501953125,4324.572150896394,4012.913040580397,4309.109993485368,13579407,2024-12-16
2024-12-23,4024.84814453125,4076.2114063088206,3976.57703123581,4058.86460904038,5443788,2024-12-23
2024-12-30,3962.0810546875,4058.1396120412596,3896.5119857880613,4011.4634136813793,7358547,2024-12-30
2025-01-06,4122.259765625,4152.556027431617,3876.7014974644694,3967.4933140843614,17222696,2025-01-06
2025-01-13,3985.6611328125,4177.633874472117,3962.2262985259986,4102.303981286596,13498125,2025-01-13
2025-01-20,4086.60546875,4124.987977337416,3966.1925540330194,4080.158887310945,9401710,2025-01-20
2025-01-27,4008.65966796875,4090.5425535272775,3964.5199227560975,4037.052981660697,8698509,2025-01-27
2025-02-03,3965.60205078125,4084.2926762294373,3935.3881747012765,3967.078301146152,9340233,2025-02-03
2025-02-10,3872.54931640625,3987.8443754247805,3838.251003000159,3976.0343723386263,8787706,2025-02-10
2025-02-17,3726.05615234375,3871.712864057135,3691.9056065038153,3795.439923801815,13038860,2025-02-17
2025-02-24,3428.099609375,3703.6171054653914,3402.26522632868,3683.884509597841,17519344,2025-02-24
2025-03-03,3554.0234375,3567.6049886843603,3409.4494169651566,3429.8216236041367,15127898,2025-03-03
2025-03-10,3455.459228515625,3564.7510103796667,3428.9359787214553,3549.3979106908637,7867247,2025-03-10
2025-03-17,3521.44775390625,3558.993625808531,3407.9240035308653,3433.7583851907266,12749267,2025-03-17
2025-03-24,3549.053466796875,3651.259298250128,3510.129857063934,3543.0009363074014,11285033,2025-03-24
2025-03-31,3247.16015625,3549.053351198004,3243.3220014707335,3549.053351198004,14237994,2025-03-31
2025-04-07,3180.33544921875,3295.97506403639,3007.663408595011,3050.9174973164554,22280739,2025-04-07
2025-04-14,3246.668212890625,3261.9228004166216,3167.0492037843464,3180.335457436021,8828897,2025-04-14
2025-04-21,3393.40771484375,3422.7359386245157,3232.102844462248,3238.007846286222,13682533,2025-04-21
2025-04-28,3376.676513671875,3454.327183207038,3312.7056674495866,3380.613181131708,7702721,2025-04-28
2025-05-05,3385.829833984375,3449.0133083711853,3344.2980339545816,3395.3762059867568,9161682,2025-05-05
2025-05-12,3504.91357421875,3573.01787457878,3446.749215228216,3449.504930560149,12626121,2025-05-12
2025-05-19,3458.952880859375,3501.665625715052,3396.6550716723236,3493.792290974827,9324618,2025-05-19
2025-05-26,3408.5634765625,3488.871590091869,3398.4267499171647,3465.251584968539,11250520,2025-05-26
2025-06-02,3330.61767578125,3418.5038306676033,3305.5214190712964,3395.3759078172543,12925590,2025-06-02
2025-06-09,3421.28564453125,3464.2788933812503,3366.8738782625383,3375.909497706005,13224192,2025-06-09
2025-06-16,3411.3564453125,3512.931651496199,3386.732116175425,3415.626026327565,11766371,2025-06-16
2025-06-23,3416.718505859375,3441.8390511551324,3346.1221812723693,3390.803337995591,12941707,2025-06-23
2025-06-30,3395.5693359375,3465.172502687829,3366.0798213348503,3415.526773588827,10575309,2025-06-30
2025-07-07,3242.85888671875,3401.8246014919005,3237.9937024384426,3394.0798195999455,16669916,2025-07-07
2025-07-14,3167.298095703125,3248.816479014345,3164.4187404091435,3242.8589915833895,15435916,2025-07-14
2025-07-21,3124.14794921875,3185.7183595770757,3113.9858993305074,3178.1465025910065,14468952,2025-07-21
2025-07-28,2991.84130859375,3106.413986079025,2988.8524561376125,3098.4437128626582,16062124,2025-07-28
2025-08-04,3025.1171875,3067.957407249083,2980.483850813291,2997.9188239669875,11239545,2025-08-04
2025-08-11,3011.06982421875,3084.8943384281984,3007.881763385299,3025.117285675552,10732787,2025-08-11
2025-08-18,3042.65185546875,3118.3694523959357,2992.23977916859,3035.179724193041,15373268,2025-08-18
2025-08-25,3073.23779296875,3150.2506095205426,3065.666179063037,3075.8282291567366,14358307,2025-08-25
2025-09-01,3036.97314453125,3143.276618940324,3017.3463946381216,3078.518146600825,9515311,2025-09-01
2025-09-08,3121.7568359375,3137.0000329464906,3004.793167365907,3038.6668303932415,10905529,2025-09-08
