ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-10-05,1104.4566168944777,1038.4018773152159,1208.5687620573538,1104.4566168944777,1104.4566168944777,19.68440843915605,19.68440843915605,19.68440843915605,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001677756,-0.2922517001677756,-0.2922517001677756,19.97666013932383,19.97666013932383,19.97666013932383,0.0,0.0,0.0,1124.1410253336337
2015-10-06,1104.5209981547503,1040.7584718527742,1202.1561351073785,1104.5209981547503,1104.5209981547503,18.500736708626462,18.500736708626462,18.500736708626462,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591381683,-0.9664435591381683,-0.9664435591381683,19.467180267764626,19.467180267764626,19.467180267764626,0.0,0.0,0.0,1123.0217348633767
2015-10-07,1104.5853794150223,1036.3412944175423,1200.6309721961638,1104.5853794150223,1104.5853794150223,18.40475472563873,18.40475472563873,18.40475472563873,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396642841,-0.5102600396642841,-0.5102600396642841,18.915014765303017,18.915014765303017,18.915014765303017,0.0,0.0,0.0,1122.990134140661
2015-10-08,1104.649760675295,1040.434154398048,1211.5333932545052,1104.649760675295,1104.649760675295,18.49795830821859,18.49795830821859,18.49795830821859,0.0,0.0,0.0,0.0,0.0,0.0,0.1758988290804634,0.1758988290804634,0.1758988290804634,18.322059479138126,18.322059479138126,18.322059479138126,0.0,0.0,0.0,1123.1477189835136
2015-10-09,1104.7141419355673,1038.039798974575,1199.160389498057,1104.7141419355673,1104.7141419355673,16.079963409659467,16.079963409659467,16.079963409659467,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356205495,-1.6114527356205495,-1.6114527356205495,17.691416145280016,17.691416145280016,17.691416145280016,0.0,0.0,0.0,1120.7941053452269
2015-10-12,1104.9072857163844,1027.8877222265319,1196.9840954183223,1104.9072857163844,1104.9072857163844,15.328552893974502,15.328552893974502,15.328552893974502,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001706025,-0.2922517001706025,-0.2922517001706025,15.620804594145103,15.620804594145103,15.620804594145103,0.0,0.0,0.0,1120.235838610359
2015-10-13,1104.971666976657,1036.5344698379813,1210.2293832885223,1104.971666976657,1104.971666976657,13.924970042419107,13.924970042419107,13.924970042419107,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591381229,-0.9664435591381229,-0.9664435591381229,14.891413601557229,14.891413601557229,14.891413601557229,0.0,0.0,0.0,1118.896637019076
2015-10-14,1105.0360482369294,1034.7230493547404,1202.9435934374985,1105.0360482369294,1105.0360482369294,13.644016437082152,13.644016437082152,13.644016437082152,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396691673,-0.5102600396691673,-0.5102600396691673,14.15427647675132,14.15427647675132,14.15427647675132,0.0,0.0,0.0,1118.6800646740116
2015-10-15,1105.1004294972017,1027.8173248026387,1201.9446470581297,1105.1004294972017,1105.1004294972017,13.592950344173406,13.592950344173406,13.592950344173406,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882908370738,0.17589882908370738,0.17589882908370738,13.417051515089698,13.417051515089698,13.417051515089698,0.0,0.0,0.0,1118.6933798413752
2015-10-16,1105.1648107574742,1034.590584297189,1196.9609107696647,1105.1648107574742,1105.1648107574742,11.075978462556238,11.075978462556238,11.075978462556238,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356205177,-1.6114527356205177,-1.6114527356205177,12.687431198176759,12.687431198176759,12.687431198176759,0.0,0.0,0.0,1116.2407892200306
2015-10-19,1105.3579545382916,1033.1710042397588,1202.8083000502047,1105.3579545382916,1105.3579545382916,10.324166184679706,10.324166184679706,10.324166184679706,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001686903,-0.2922517001686903,-0.2922517001686903,10.616417884848396,10.616417884848396,10.616417884848396,0.0,0.0,0.0,1115.6821207229711
2015-10-20,1105.422335798564,1033.8912483559113,1194.4610831260713,1105.422335798564,1105.422335798564,9.019740688188607,9.019740688188607,9.019740688188607,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591380769,-0.9664435591380769,-0.9664435591380769,9.986184247326685,9.986184247326685,9.986184247326685,0.0,0.0,0.0,1114.4420764867527
2015-10-21,1105.4867170588363,1039.3092875072773,1200.6179986373543,1105.4867170588363,1105.4867170588363,8.883761659063051,8.883761659063051,8.883761659063051,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396661532,-0.5102600396661532,-0.5102600396661532,9.394021698729205,9.394021698729205,9.394021698729205,0.0,0.0,0.0,1114.3704787178995
2015-10-23,1105.6154795793811,1034.1118032855493,1194.9847850387707,1105.6154795793811,1105.6154795793811,6.723003714328966,6.723003714328966,6.723003714328966,0.0,0.0,0.0,0.0,0.0,0.0,-1.611452735620672,-1.611452735620672,-1.611452735620672,8.334456449949638,8.334456449949638,8.334456449949638,0.0,0.0,0.0,1112.3384832937102
2015-10-26,1105.8086233601982,1028.2319545950802,1196.7110392282889,1105.8086233601982,1105.8086233601982,6.765868559832471,6.765868559832471,6.765868559832471,0.0,0.0,0.0,0.0,0.0,0.0,-0.29225170017144253,-0.29225170017144253,-0.29225170017144253,7.058120260003913,7.058120260003913,7.058120260003913,0.0,0.0,0.0,1112.5744919200306
2015-10-27,1105.8730046204707,1025.6838337519423,1195.5514451945753,1105.8730046204707,1105.8730046204707,5.739417815143613,5.739417815143613,5.739417815143613,0.0,0.0,0.0,0.0,0.0,0.0,-0.9664435591365332,-0.9664435591365332,-0.9664435591365332,6.705861374280146,6.705861374280146,6.705861374280146,0.0,0.0,0.0,1111.6124224356145
2015-10-28,1105.9373858807432,1032.6282437989407,1195.1625249758924,1105.9373858807432,1105.9373858807432,5.871441039052808,5.871441039052808,5.871441039052808,0.0,0.0,0.0,0.0,0.0,0.0,-0.5102600396663135,-0.5102600396663135,-0.5102600396663135,6.381701078719121,6.381701078719121,6.381701078719121,0.0,0.0,0.0,1111.808826919796
2015-10-29,1106.0017671410155,1028.8976856511895,1194.6932423202593,1106.0017671410155,1106.0017671410155,6.254549485363161,6.254549485363161,6.254549485363161,0.0,0.0,0.0,0.0,0.0,0.0,0.17589882907981566,0.17589882907981566,0.17589882907981566,6.078650656283345,6.078650656283345,6.078650656283345,0.0,0.0,0.0,1112.2563166263787
2015-10-30,1106.066148401288,1024.9206247812456,1194.568394331945,1106.066148401288,1106.066148401288,4.177259667888598,4.177259667888598,4.177259667888598,0.0,0.0,0.0,0.0,0.0,0.0,-1.6114527356223873,-1.6114527356223873,-1.6114527356223873,5.788712403510987,5.788712403510987,5.788712403510987,0.0,0.0,0.0,1110.2434080691767
2015-11-02,1106.2592921821054,1024.467916915096,1193.1917261080691,1106.2592921821054,1106.2592921821054,4.615264581529533,4.615264581529533,4.615264581529533,0.0,0.0,0.0,0.0,0.0,0.0,-0.2922517001695305,-0.2922517001695305,-0.2922517001695305,4.9075162816990625,4.9075162816990625,4.9075162816990625,0.0,0.0,0.0,1110.874556763635
